ECT	Ectorhinal area
VISp	Primary visual area
VISal	Anterolateral visual area
TEa	Temporal association areas
VISpm	Posteromedial visual area
SSs	Supplemental somatosensory area
VISam	Anteromedial visual area
VISrl	Rostrolateral visual area
SSp	Primary somatosensory area
AUDv	Ventral auditory areas
6b	"Cortical subplate, Layer 6b"
MOp	Primary somatomotor area
VISlm	Mediolateral visual area
AUDp	Primary auditory area
PTLp	Posterior parietal association areas
AUDpo	Posterior auditory area
VISpl	Posterolateral visual area
AUDd	Dorsal auditory areas
VISli	Intermediolateral visual area
VISll	Laterolateral visual area
VISlla	Anterior laterolateral visual area
ENTl	"Entorhinal area, Lateral part"
ORBm	Medial orbital area
PERI	Perirhinal area
PIR	Piriform area
LA	Lateral amygdalar nucleus
AIp	Posterior agranular insular area
PL	Prelimbic area
BLAp	"Basolateral amygdalar nucleus, Posterior part"
ENTm	"Entorhinal area, Medial part"
EPd	"Endopiriform nucleus, Dorsal part"
ILA	Infralimbic area
BLAa	"Basolateral amygdalar nucleus, Anterior part"
COApm	"Cortical amygdala area, Posterior part, Medial zone"
AIv	Ventral agranular insular area
CA1v	"Field CA1, Ventral part"
VISC	Visceral area
AId	Dorsal agranular insular area
AOA	Anterior olfactory area
TR	Postpiriform transition area
GU	Gustatory area
EPv	"Endopiriform nucleus, Ventral part"
PAA	Piriform-amygdalar area
NLOT	Nucleus of lateral olfactory tract
BMAp	"Basomedial amygdalar nucleus, Posterior part"
SUBv	"Subiculum, Ventral part"
BMAa	"Basomedial amygdalar nucleus, Anterior part"
CA3	Field CA3
COApl	"Cortical amygdala area, Posterior part, Lateral zone"
COAa	"Cortical amygdala area, Anterior part"
NLOT3	"Nucleus of lateral olfactory tract, dorsal cap"
CA1d	"Field CA1, Dorsal part"
TTd	"Tenia tecta, Dorsal part"
SUBd	"Subiculum, Dorsal part"
PA	Posterior amygdalar nucleus
MOB	Main olfactory bulb
TTv	"Tenia tecta, Ventral part"
DG	Dentate gyrus
CA2	Field CA2
IG	Indusium griseum
AOB	Accessory olfactory bulb
FC	Fasciola cinerea
MOs	Secondary somatomotor areas
RSPd	"Retrosplenial region, Dorsal part"
CLA	Claustrum
ACAv	"Anterior cingulate area, Ventral part"
ORBv	Ventral orbital area
RSPv.a	"Retrosplenial region, Ventral part, Zone a"
ACAd	"Anterior cingulate area, Dorsal part"
ORBvl	Ventrolateral orbital area
RSPv.b/c	"Retrosplenial region, Ventral part, Zone b/c"
PAR	Parasubiculum
POST	Postsubiculum
RSPagl	"Retrosplenial region, Lateral agranular part"
PRE	Presubiculum
ORBl	Lateral orbital area
RSPv	"Retrosplenial region, Ventral Part, Anterior Zone"
