"Connection
Origin",,"Connection
Termination",,"Data
Type","Article
Reported
Value","Article
Selected
Value?","Selected
Value
Date","Site Size
Relative
To Region","Site
Extension","Extended
Regions","Pathway
Tracer","Male or
Female","Primary
Collator","Additional
Collator",Reference Article,"Regional
Nomenclature
Applied","Additional
Annotations"
"Region
Side","Region
Abbr.","Region
Side","Region
Abbr.",,,,,,,,,,,,,,
one,MOB,one,MOB,,identity,yes,05 2016,,,,,,"Swanson, L.W.",,,,
one,MOB,two,MOB,retro,absent,yes,08 2016,large,no,,HRP,unreported,"Swanson, L.W.",,de Olmos et al. (1978) J. Comp. Neurol. 181:213-244.,other,"See p. 231 & Fig. 15. Confirms earlier work with the Fink-Heimer degeneration method (Heimer, 1968; pp. 426-427); also see Haberly & Price (1978) J. Comp. Neurol. 181:781-808, Fig. 28. No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
left,MOB,left,AOB,antero,absent,yes,03 2016,small-med,no,,BDA-10K,unclear,"Swanson, L.W.",,Pro-Sistiaga et al. (2007) J. Comp. Neurol. 504:346-362.,Paxinos & Watson (2005),EM analysis revealed only axons-of-passage (no synapses) in AOB (p. 349).
one,MOB,two,AOB,retro,absent,yes,08 2016,large,no,,HRP,unreported,"Swanson, L.W.",,de Olmos et al. (1978) J. Comp. Neurol. 181:213-244.,other,"See p. 232 & Fig. 16. Confirms earlier work with the Fink-Heimer degeneration method (Heimer, 1968; pp. 426-427); also see Haberly & Price (1978) J. Comp. Neurol. 181:781-808, Fig. 28. No commissural projections from the MOB have been reported in mammals."
one,MOB,one,AOA,antero,v.strong,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Fig. 1 for comparison with other terminal fields.
one,MOB,two,AOA,antero,absent,yes,08 2016,large,no,,HRP,unreported,"Swanson, L.W.",,de Olmos et al. (1978) J. Comp. Neurol. 181:213-244.,other,"See p. 234. Confirms Fink-Heimer degeneration method (Heimer, 1968; pp. 426-427); also see Haberly & Price (1978) J. Comp. Neurol. 181:781-808, Fig. 28. No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,TTv,antero,weak-mod,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,"See Figs. 1 (right), 2(P-9); TTd and TTv anterogradely labeled on the flatmap. Confirms degeneration study of Heimer (1968; see Fig. 2B & compare with Swanson, 2004, Atlas Level 6). For relative connection weight."
one,MOB,two,TTv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,TTd,antero,weak,yes,03 2016,large,no,,WGA-HRP,male,"Burns, G.","Swanson, L.W.",Neafsey et al. (1986) Brain Res. 377:261-270.,other,Bota et al. (2015); see Fig. 3A.
one,MOB,two,TTd,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,PIR,antero,strong,yes,03 2016,small,no,,PHAL,unreported,"Bota, M.","Swanson, L.W.",Buonoviso et al. (1991) Eur. J. Neurosci. 3:493-500.,other,Bota et al. (2015).
one,MOB,two,PIR,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,COAa,antero,moderate,yes,03 2016,v.small,no,,PHAL,unreported,"Bota, M.","Swanson, L.W.",Buonoviso et al. (1991) Eur. J. Neurosci. 3:493-500.,other,Bota et al. (2015).
one,MOB,two,COAa,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
left,MOB,left,COApm,antero,absent,yes,03 2016,small-med,no,,BDA-10K,unclear,"Bota, M.","Swanson, L.W.",Pro-Sistiaga et al. (2007) J. Comp. Neurol. 504:346-362.,Paxinos & Watson (2005),Bota et al. (2015).
one,MOB,two,COApm,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,COApl,antero,moderate,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Fig. 1 (within their PAC) for comparison with other terminal fields.
one,MOB,two,COApl,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,NLOT,antero,moderate,yes,03 2016,v.small,no,,PHAL,unreported,"Bota, M.","Swanson, L.W.",Buonoviso et al. (1991) Eur. J. Neurosci. 3:493-500.,other,Bota et al. (2015).
one,MOB,two,NLOT,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,PAA,antero,moderate,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Fig. 1 (within their PAC) for comparison with other terminal fields.
one,MOB,two,PAA,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
left,MOB,left,TR,retro,moderate,yes,03 2016,medium,small,"BLAp, PIR, ENTl",Fluoro-Gold,female,"Bota, M.","Swanson, L.W.",Santiago & Shammah-Lagnado (2005) J. Comp. Neurol. 489:349-371.,Paxinos & Watson (1986),Bota et al. (2015).
left,MOB,right,TR,retro,absent,yes,08 2016,medium,small,"BLAp, PIR, ENTl",Fluoro-Gold,female,"Swanson, L.W.",,Santiago & Shammah-Lagnado (2005) J. Comp. Neurol. 489:349-371.,Paxinos & Watson (1986),See Table 1 & Fig. 3.
one,MOB,one,IG,antero,weak,yes,03 2016,unreported,unreported,unclear,ARGM (autoradiographic),unreported,"Bota, M.","Swanson, L.W.",Wyss & Sripanidkulchai (1983) J. Comp. Neurol. 219:251-272.,other,Bota et al. (2015).
one,MOB,two,IG,antero,absent,yes,03 2016,unreported,unreported,unclear,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Wyss & Sripanidkulchai (1983) J. Comp. Neurol. 219:251-272.,other,No mention of commissural projection; there are no known commissural connections of the MOB in mammals.
one,MOB,one,FC,antero,absent,yes,03 2016,unreported,unreported,unclear,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Wyss & Sripanidkulchai (1983) J. Comp. Neurol. 219:251-272.,other,"Projection from MOB dorsally only extends to the rostral half of the IG, thus not reaching the FC (p. 264)."
one,MOB,two,FC,antero,absent,yes,03 2016,unreported,unreported,unclear,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Wyss & Sripanidkulchai (1983) J. Comp. Neurol. 219:251-272.,other,"Projection from MOB dorsally only extends to the rostral half of the IG, thus not reaching the FC (p. 264), and only an ipsilateral projection is mentioned."
